Player,Year,MP,G,MPG,Pos,Age,Tm,PER,USG%,VORP,BPM,PTS,AST,TRB,is_rotation_player
Nik Stauskas,2015.0,1127.0,73.0,15.438356164383562,SG,21.0,SAC,7.5,14.2,-0.5,-3.9,319.0,67.0,88.0,1
David Stockton,2015.0,33.0,3.0,11.0,PG,23.0,SAC,10.8,16.9,-0.1,-8.4,8.0,9.0,2.0,0
Jarnell Stokes,2015.0,126.0,19.0,6.631578947368421,PF,21.0,MEM,18.6,20.5,0.1,0.5,57.0,4.0,34.0,0
Noah Vonleh,2015.0,259.0,25.0,10.36,PF,19.0,CHO,13.2,17.3,-0.2,-5.6,83.0,4.0,86.0,1
T.J. Warren,2015.0,614.0,40.0,15.35,SF,21.0,PHO,14.0,17.8,0.0,-2.1,245.0,25.0,85.0,1
David Wear,2015.0,7.0,2.0,3.5,PF,24.0,SAC,2.4,12.6,0.0,-3.0,0.0,1.0,2.0,0
Travis Wear,2015.0,672.0,51.0,13.176470588235293,SF,24.0,NYK,8.5,17.5,-0.7,-6.1,199.0,40.0,106.0,0
Shayne Whittington,2015.0,108.0,20.0,5.4,PF,23.0,IND,20.0,23.9,0.1,0.5,57.0,6.0,29.0,0
Andrew Wiggins,2015.0,2969.0,82.0,36.207317073170735,SF,19.0,MIN,13.9,22.6,-0.2,-2.3,1387.0,170.0,374.0,1
C.J. Wilcox,2015.0,101.0,21.0,4.809523809523809,SG,24.0,LAC,8.5,21.8,-0.1,-6.0,41.0,8.0,7.0,0
James Young,2015.0,332.0,31.0,10.709677419354838,SG,19.0,BOS,8.5,15.8,-0.2,-3.8,105.0,13.0,42.0,0
Cliff Alexander,2016.0,36.0,8.0,4.5,PF,20.0,POR,11.6,13.3,0.0,-7.0,10.0,0.0,6.0,0
Justin Anderson,2016.0,647.0,55.0,11.763636363636364,SF,22.0,DAL,12.3,15.8,0.1,-1.2,208.0,29.0,132.0,1
Thanasis Antetokounmpo,2016.0,6.0,2.0,3.0,SF,23.0,NYK,32.9,30.2,0.0,-4.1,6.0,0.0,1.0,0
Keith Appling,2016.0,27.0,5.0,5.4,PG,23.0,ORL,-4.8,19.5,-0.1,-13.0,6.0,1.0,1.0,0
Nemanja Bjelica,2016.0,1075.0,60.0,17.916666666666668,PF,27.0,MIN,11.2,12.8,0.6,0.3,308.0,83.0,210.0,1
Devin Booker,2016.0,2108.0,76.0,27.736842105263158,SG,19.0,PHO,11.9,23.0,-0.6,-3.1,1048.0,200.0,187.0,1
Anthony Brown,2016.0,599.0,29.0,20.655172413793103,SF,23.0,LAL,4.9,11.0,-0.5,-5.0,115.0,19.0,70.0,1
Willie Cauley-Stein,2016.0,1412.0,66.0,21.393939393939394,C,22.0,SAC,15.3,13.2,1.0,0.7,463.0,37.0,352.0,1
Rakeem Christmas,2016.0,6.0,1.0,6.0,PF,24.0,IND,32.0,14.7,0.0,3.2,4.0,0.0,1.0,0
Coty Clarke,2016.0,6.0,3.0,2.0,SF,23.0,BOS,23.9,35.5,0.0,-9.5,6.0,0.0,1.0,0
Pat Connaughton,2016.0,143.0,34.0,4.205882352941177,SG,23.0,POR,4.6,18.7,-0.2,-8.2,36.0,10.0,32.0,0
Branden Dawson,2016.0,29.0,6.0,4.833333333333333,PF,22.0,LAC,7.1,8.5,0.0,-6.6,5.0,0.0,4.0,0
Bryce Dejean-Jones,2016.0,279.0,14.0,19.928571428571427,SG,23.0,NOP,9.6,14.1,0.0,-2.6,79.0,15.0,48.0,1
Sam Dekker,2016.0,6.0,3.0,2.0,SF,21.0,HOU,10.8,0.0,0.0,0.5,0.0,0.0,1.0,1
Duje Dukan,2016.0,24.0,1.0,24.0,SF,24.0,SAC,4.2,17.7,0.0,-6.7,6.0,1.0,4.0,1
Jarell Eddie,2016.0,147.0,26.0,5.653846153846154,SF,24.0,WAS,11.0,20.7,-0.1,-4.7,63.0,5.0,23.0,0
Cristiano Felicio,2016.0,321.0,31.0,10.35483870967742,C,23.0,CHI,17.6,13.7,0.2,0.9,105.0,26.0,102.0,1
Jerian Grant,2016.0,1265.0,76.0,16.644736842105264,PG,23.0,NYK,11.2,19.0,-0.5,-3.4,426.0,177.0,143.0,1
Montrezl Harrell,2016.0,379.0,39.0,9.717948717948717,PF,22.0,HOU,14.6,14.5,0.0,-1.9,140.0,17.0,65.0,1
Aaron Harrison,2016.0,93.0,21.0,4.428571428571429,SG,21.0,CHO,4.3,13.7,-0.1,-5.5,18.0,2.0,15.0,0
Mario Hezonja,2016.0,1413.0,79.0,17.88607594936709,SF,20.0,ORL,9.4,16.9,-0.3,-2.8,478.0,109.0,176.0,1
Darrun Hilliard,2016.0,383.0,38.0,10.078947368421053,SG,22.0,DET,10.7,19.1,-0.2,-3.6,152.0,27.0,45.0,0
Rondae Hollis-Jefferson,2016.0,615.0,29.0,21.20689655172414,SF,21.0,BRK,14.2,13.5,0.5,1.2,167.0,43.0,154.0,1
Richaun Holmes,2016.0,702.0,51.0,13.764705882352942,PF,22.0,PHI,15.9,17.9,0.2,-0.9,287.0,33.0,135.0,1
Marcelo Huertas,2016.0,869.0,53.0,16.39622641509434,PG,32.0,LAL,10.4,16.3,-0.9,-6.0,237.0,182.0,90.0,1
Josh Huestis,2016.0,55.0,5.0,11.0,PF,24.0,OKC,6.7,13.0,-0.1,-7.4,14.0,0.0,10.0,1
R.J. Hunter,2016.0,315.0,36.0,8.75,SG,22.0,BOS,7.7,15.1,-0.1,-3.5,97.0,13.0,37.0,0
Damien Inglis,2016.0,156.0,20.0,7.8,SF,20.0,MIL,6.7,14.9,-0.2,-6.4,36.0,10.0,31.0,0
Stanley Johnson,2016.0,1687.0,73.0,23.10958904109589,SF,19.0,DET,8.7,19.6,-0.2,-2.6,593.0,118.0,306.0,1
Nikola Jokic,2016.0,1733.0,80.0,21.6625,C,20.0,DEN,21.5,19.9,3.0,4.8,796.0,189.0,560.0,1
Tyus Jones,2016.0,573.0,37.0,15.486486486486486,PG,19.0,MIN,11.2,16.1,-0.3,-3.7,156.0,108.0,47.0,1
Frank Kaminsky,2016.0,1708.0,81.0,21.08641975308642,C,22.0,CHO,12.5,17.1,0.3,-1.2,606.0,98.0,335.0,1
Sasha Kaun,2016.0,95.0,25.0,3.8,C,30.0,CLE,12.5,13.7,0.0,-0.8,23.0,3.0,26.0,0
Kevon Looney,2016.0,21.0,5.0,4.2,PF,19.0,GSW,18.6,16.5,0.0,-9.5,9.0,0.0,10.0,0
Trey Lyles,2016.0,1382.0,80.0,17.275,PF,20.0,UTA,11.6,17.9,-0.3,-2.8,488.0,59.0,299.0,1
Boban Marjanovic,2016.0,508.0,54.0,9.407407407407407,C,27.0,SAS,27.7,22.8,0.7,3.6,297.0,21.0,194.0,0
Jarell Martin,2016.0,380.0,27.0,14.074074074074074,PF,21.0,MEM,14.0,19.2,-0.1,-3.2,153.0,15.0,86.0,0
T.J. McConnell,2016.0,1606.0,81.0,19.82716049382716,PG,23.0,PHI,14.5,17.0,0.0,-2.1,493.0,367.0,250.0,1
Chris McCullough,2016.0,362.0,24.0,15.083333333333334,PF,20.0,BRK,12.2,16.5,0.1,-1.0,112.0,9.0,68.0,1
Jordan McRae,2016.0,195.0,22.0,8.863636363636363,PG,24.0,TOT,14.2,23.9,-0.1,-4.3,99.0,25.0,20.0,0
Jordan McRae,2016.0,82.0,7.0,11.714285714285714,PG,24.0,PHO,14.2,20.0,0.0,-3.0,37.0,10.0,8.0,0
Jordan McRae,2016.0,113.0,15.0,7.533333333333333,PG,24.0,CLE,14.2,26.7,-0.1,-5.2,62.0,15.0,12.0,0
Salah Mejri,2016.0,397.0,34.0,11.676470588235293,C,29.0,DAL,16.8,14.0,0.3,1.1,125.0,10.0,123.0,0
Jordan Mickey,2016.0,57.0,16.0,3.5625,PF,21.0,BOS,15.3,20.5,0.0,-3.2,21.0,1.0,13.0,0
Luis Montero,2016.0,42.0,12.0,3.5,SG,22.0,POR,-2.7,25.7,-0.2,-16.9,14.0,1.0,4.0,0
Emmanuel Mudiay,2016.0,2068.0,68.0,30.41176470588235,PG,19.0,DEN,9.9,25.7,-1.2,-4.3,872.0,372.0,232.0,1
Xavier Munford,2016.0,244.0,14.0,17.428571428571427,SG,23.0,MEM,9.9,18.0,-0.1,-3.1,80.0,22.0,31.0,1
Raul Neto,2016.0,1499.0,81.0,18.506172839506174,PG,23.0,UTA,10.2,17.2,-0.1,-2.3,476.0,174.0,120.0,1
J.J. O'Brien,2016.0,6.0,2.0,3.0,SF,23.0,UTA,1.3,7.7,0.0,-4.7,0.0,0.0,1.0,0
Jahlil Okafor,2016.0,1591.0,53.0,30.0188679245283,C,20.0,PHI,17.1,27.3,-0.8,-4.1,928.0,65.0,373.0,1
Kelly Oubre,2016.0,671.0,63.0,10.65079365079365,SF,20.0,WAS,8.2,17.4,-0.7,-5.8,236.0,13.0,133.0,1
Lamar Patterson,2016.0,395.0,35.0,11.285714285714286,SG,24.0,ATL,5.1,12.8,-0.3,-4.9,84.0,39.0,50.0,0
Cameron Payne,2016.0,698.0,57.0,12.24561403508772,PG,21.0,OKC,12.9,20.3,0.1,-1.3,283.0,108.0,85.0,1
Tibor Pleiss,2016.0,82.0,12.0,6.833333333333333,C,26.0,UTA,3.5,19.1,-0.1,-8.1,24.0,2.0,15.0,0
Bobby Portis,2016.0,1102.0,62.0,17.774193548387096,PF,20.0,CHI,13.8,20.7,-0.4,-3.3,436.0,52.0,337.0,1
Kristaps Porzingis,2016.0,2047.0,72.0,28.430555555555557,PF,20.0,NYK,17.7,24.6,1.1,0.1,1028.0,94.0,526.0,1
Norman Powell,2016.0,725.0,49.0,14.795918367346939,SG,22.0,TOR,13.3,17.8,0.3,-0.4,273.0,47.0,111.0,1
Willie Reed,2016.0,426.0,39.0,10.923076923076923,C,25.0,BRK,19.2,18.1,0.0,-1.6,182.0,10.0,122.0,0
Josh Richardson,2016.0,1107.0,52.0,21.28846153846154,SG,22.0,MIA,11.4,13.8,0.7,0.6,341.0,73.0,107.0,1
Terry Rozier,2016.0,311.0,39.0,7.9743589743589745,PG,21.0,BOS,5.0,17.7,-0.4,-6.6,72.0,37.0,63.0,1
D'Angelo Russell,2016.0,2259.0,80.0,28.2375,PG,19.0,LAL,13.2,24.1,0.1,-1.8,1054.0,266.0,274.0,1
Jonathon Simmons,2016.0,813.0,55.0,14.781818181818181,SG,26.0,SAS,11.9,18.9,0.2,-1.0,331.0,58.0,96.0,1
Alex Stepheson,2016.0,73.0,8.0,9.125,PF,28.0,TOT,14.8,19.8,0.0,-3.2,22.0,2.0,28.0,1
Alex Stepheson,2016.0,12.0,4.0,3.0,PF,28.0,LAC,8.9,7.1,0.0,0.0,2.0,0.0,2.0,1
Alex Stepheson,2016.0,61.0,4.0,15.25,PF,28.0,MEM,16.0,22.4,0.0,-3.8,20.0,2.0,26.0,1
Walter Tavares,2016.0,73.0,11.0,6.636363636363637,C,23.0,ATL,14.4,16.9,0.0,-2.3,25.0,3.0,21.0,0
Axel Toupane,2016.0,305.0,21.0,14.523809523809524,SF,23.0,DEN,7.1,12.0,-0.1,-2.8,76.0,15.0,31.0,0
Karl-Anthony Towns,2016.0,2627.0,82.0,32.03658536585366,C,20.0,MIN,22.5,24.9,3.1,2.8,1503.0,161.0,858.0,1
Myles Turner,2016.0,1367.0,60.0,22.783333333333335,C,19.0,IND,15.4,20.9,-0.1,-2.3,619.0,41.0,332.0,1
Rashad Vaughn,2016.0,1001.0,70.0,14.3,SG,19.0,MIL,4.2,13.5,-1.0,-6.1,217.0,39.0,88.0,0
Briante Weber,2016.0,169.0,7.0,24.142857142857142,PG,23.0,TOT,8.9,13.2,0.0,-2.1,31.0,21.0,25.0,1
Briante Weber,2016.0,166.0,6.0,27.666666666666668,PG,23.0,MEM,8.3,13.2,0.0,-2.4,29.0,20.0,24.0,1
Briante Weber,2016.0,3.0,1.0,3.0,PG,23.0,MIA,39.3,15.2,0.0,14.0,2.0,1.0,1.0,1
Alan Williams,2016.0,68.0,10.0,6.8,PF,23.0,PHO,21.1,22.6,0.1,1.5,29.0,5.0,38.0,1
Justise Winslow,2016.0,2232.0,78.0,28.615384615384617,SF,19.0,MIA,8.4,12.5,0.8,-0.6,502.0,117.0,403.0,1
Christian Wood,2016.0,145.0,17.0,8.529411764705882,PF,20.0,PHI,16.4,19.4,-0.1,-4.5,61.0,3.0,38.0,0
Delon Wright,2016.0,229.0,27.0,8.481481481481481,PG,23.0,TOR,17.8,22.1,0.1,-0.7,103.0,31.0,37.0,1
Joe Young,2016.0,384.0,41.0,9.365853658536585,PG,23.0,IND,9.9,24.4,-0.3,-5.4,154.0,65.0,50.0,0
Alex Abrines,2017.0,1055.0,68.0,15.514705882352942,SG,23.0,OKC,10.1,15.9,-0.1,-2.5,406.0,40.0,86.0,1
Ron Baker,2017.0,857.0,52.0,16.48076923076923,SG,23.0,NYK,7.5,14.8,-0.5,-4.4,215.0,107.0,98.0,1
Wade Baldwin,2017.0,405.0,33.0,12.272727272727273,PG,20.0,MEM,6.4,19.2,-0.4,-5.8,106.0,61.0,46.0,0
Malik Beasley,2017.0,165.0,22.0,7.5,SG,20.0,DEN,13.7,22.0,-0.1,-3.9,83.0,11.0,17.0,0
DeAndre' Bembry,2017.0,371.0,38.0,9.763157894736842,SF,22.0,ATL,8.8,14.2,-0.2,-4.3,101.0,28.0,59.0,0
Dragan Bender,2017.0,574.0,43.0,13.348837209302326,PF,19.0,PHO,5.3,14.4,-0.3,-4.3,146.0,23.0,103.0,0
Ben Bentil,2017.0,10.0,3.0,3.3333333333333335,PF,21.0,DAL,-17.6,18.9,-0.1,-26.9,0.0,0.0,2.0,0
Davis Bertans,2017.0,808.0,67.0,12.059701492537313,PF,24.0,SAS,12.9,15.7,0.8,1.7,303.0,46.0,99.0,0
Joel Bolomboy,2017.0,53.0,12.0,4.416666666666667,PF,23.0,UTA,19.7,18.2,0.0,-0.8,22.0,2.0,17.0,0
Malcolm Brogdon,2017.0,1982.0,75.0,26.426666666666666,SG,24.0,MIL,14.9,18.5,0.8,-0.5,767.0,317.0,213.0,1
Jaylen Brown,2017.0,1341.0,78.0,17.192307692307693,SF,20.0,BOS,10.3,18.1,-0.7,-4.0,515.0,64.0,220.0,1
Nicolas Brussino,2017.0,521.0,54.0,9.648148148148149,SF,23.0,DAL,10.7,16.0,0.1,-1.0,150.0,47.0,95.0,0
Marquese Chriss,2017.0,1743.0,82.0,21.25609756097561,PF,19.0,PHO,12.3,19.7,0.2,-1.6,753.0,60.0,348.0,1
Semaj Christon,2017.0,973.0,64.0,15.203125,PG,24.0,OKC,5.7,12.2,-1.1,-6.3,183.0,130.0,88.0,1
Quinn Cook,2017.0,188.0,14.0,13.428571428571429,PG,23.0,TOT,11.8,19.6,-0.2,-5.9,79.0,26.0,7.0,1
Quinn Cook,2017.0,77.0,5.0,15.4,PG,23.0,DAL,6.9,20.7,-0.1,-8.7,27.0,12.0,3.0,1
Quinn Cook,2017.0,111.0,9.0,12.333333333333334,PG,23.0,NOP,15.3,18.9,-0.1,-4.0,52.0,14.0,4.0,1
Deyonta Davis,2017.0,238.0,36.0,6.611111111111111,C,20.0,MEM,10.6,12.0,-0.1,-3.6,58.0,2.0,60.0,0
Malcolm Delaney,2017.0,1248.0,73.0,17.095890410958905,PG,27.0,ATL,7.5,18.3,-1.2,-5.8,391.0,193.0,124.0,1
Cheick Diallo,2017.0,199.0,17.0,11.705882352941176,PF,20.0,NOP,16.8,20.5,-0.2,-5.6,87.0,4.0,73.0,0
Kris Dunn,2017.0,1333.0,78.0,17.08974358974359,PG,22.0,MIN,8.1,14.2,-0.1,-2.2,293.0,188.0,166.0,1
Henry Ellenson,2017.0,146.0,19.0,7.684210526315789,PF,20.0,DET,7.5,24.7,-0.2,-8.2,60.0,7.0,41.0,0
Joel Embiid,2017.0,786.0,31.0,25.35483870967742,C,22.0,PHI,24.1,36.0,1.0,3.2,627.0,66.0,243.0,1
Kay Felder,2017.0,386.0,42.0,9.19047619047619,PG,21.0,CLE,11.2,24.3,-0.4,-6.1,166.0,58.0,41.0,0
Yogi Ferrell,2017.0,1197.0,46.0,26.02173913043478,PG,23.0,TOT,13.1,19.6,0.4,-0.7,462.0,172.0,111.0,1
Yogi Ferrell,2017.0,151.0,10.0,15.1,PG,23.0,BRK,6.5,19.9,-0.2,-7.3,54.0,17.0,12.0,1
Yogi Ferrell,2017.0,1046.0,36.0,29.055555555555557,PG,23.0,DAL,14.1,19.5,0.6,0.2,408.0,155.0,99.0,1
Dorian Finney-Smith,2017.0,1642.0,81.0,20.271604938271604,PF,23.0,DAL,7.7,11.6,0.2,-1.5,350.0,67.0,221.0,1
Bryn Forbes,2017.0,285.0,36.0,7.916666666666667,SG,23.0,SAS,5.9,17.9,-0.3,-6.0,94.0,23.0,23.0,0
